id,image_path,target
0029a2442ab0,train/0029a2442ab0.jpg,mixed_resource
00b36f247900,train/00b36f247900.jpg,mixed_resource
01005e1d0b6c,train/01005e1d0b6c.jpg,forage_dominant
016553811943,train/016553811943.jpg,brood_dominant
016d39860594,train/016d39860594.jpg,brood_dominant
01ce959e4191,train/01ce959e4191.jpg,mixed_resource
01e1d7371223,train/01e1d7371223.jpg,brood_dominant
022d75727fec,train/022d75727fec.jpg,forage_dominant
0230a181d6d9,train/0230a181d6d9.jpg,forage_dominant
024dea6e68a3,train/024dea6e68a3.jpg,forage_dominant
02aca501ecf9,train/02aca501ecf9.jpg,mixed_resource
02cc58257135,train/02cc58257135.jpg,brood_dominant
02e31850114b,train/02e31850114b.jpg,forage_dominant
02f2d2140f7b,train/02f2d2140f7b.jpg,brood_dominant
03217099e366,train/03217099e366.jpg,brood_dominant
04363b27985e,train/04363b27985e.jpg,mixed_resource
044a9bcfebd7,train/044a9bcfebd7.jpg,mixed_resource
0465a210c4a6,train/0465a210c4a6.jpg,sparse_uncertain
047349f8e50b,train/047349f8e50b.jpg,sparse_uncertain
0512208d1386,train/0512208d1386.jpg,brood_dominant
0570f796b71f,train/0570f796b71f.jpg,mixed_resource
061eaec4d33f,train/061eaec4d33f.jpg,mixed_resource
0632a5c74a0b,train/0632a5c74a0b.jpg,brood_dominant
06b17557b133,train/06b17557b133.jpg,brood_dominant
075c80f67dcd,train/075c80f67dcd.jpg,mixed_resource
078f1e49bfdb,train/078f1e49bfdb.jpg,forage_dominant
0793fabd6222,train/0793fabd6222.jpg,sparse_uncertain
07b32a10e0a7,train/07b32a10e0a7.jpg,forage_dominant
07e0a90d994f,train/07e0a90d994f.jpg,forage_dominant
0921ce8a1eeb,train/0921ce8a1eeb.jpg,forage_dominant
092c80619345,train/092c80619345.jpg,mixed_resource
093a83d2155c,train/093a83d2155c.jpg,mixed_resource
09727a034cbc,train/09727a034cbc.jpg,brood_dominant
0973cde47789,train/0973cde47789.jpg,forage_dominant
097a1f4ec872,train/097a1f4ec872.jpg,mixed_resource
099b8f40ccb6,train/099b8f40ccb6.jpg,brood_dominant
09f64cb3e027,train/09f64cb3e027.jpg,forage_dominant
0a171cd32195,train/0a171cd32195.jpg,brood_dominant
0a3525197374,train/0a3525197374.jpg,brood_dominant
0a6426fc1dc0,train/0a6426fc1dc0.jpg,forage_dominant
0a763666b9ab,train/0a763666b9ab.jpg,forage_dominant
0ae2337e8301,train/0ae2337e8301.jpg,sparse_uncertain
0b0fe452fa88,train/0b0fe452fa88.jpg,brood_dominant
0b16645a9b15,train/0b16645a9b15.jpg,brood_dominant
0b54f49ba8fb,train/0b54f49ba8fb.jpg,brood_dominant
0b813d909914,train/0b813d909914.jpg,sparse_uncertain
0ba9baba435e,train/0ba9baba435e.jpg,brood_dominant
0bb00f6c4ecc,train/0bb00f6c4ecc.jpg,forage_dominant
0c09228711d9,train/0c09228711d9.jpg,forage_dominant
0ca5f92c4b38,train/0ca5f92c4b38.jpg,forage_dominant
0cdb3aa4ec1f,train/0cdb3aa4ec1f.jpg,forage_dominant
0cefc4772b9e,train/0cefc4772b9e.jpg,brood_dominant
0d8d36d176c6,train/0d8d36d176c6.jpg,mixed_resource
0dc054110f7e,train/0dc054110f7e.jpg,brood_dominant
0dc7b978e6b5,train/0dc7b978e6b5.jpg,forage_dominant
0dd5a5b2f3a6,train/0dd5a5b2f3a6.jpg,forage_dominant
0de9d335b303,train/0de9d335b303.jpg,brood_dominant
0dec8ca34af0,train/0dec8ca34af0.jpg,forage_dominant
0e45b656b9e8,train/0e45b656b9e8.jpg,brood_dominant
0f20e20cbe9e,train/0f20e20cbe9e.jpg,sparse_uncertain
0f5766ace629,train/0f5766ace629.jpg,forage_dominant
